,NULL,ADD_S,ADD_N,ADD_EN,ADD_NEN,DEL_US_ADD_EN,DEL_UM_ADD_EN,DEL_UM_ADD_A,DEL_E,DEL_A_ADD_EN,ADD_E,UMLAUT_ADD_E,DEL_ON_ADD_EN,ADD_ES,UMLAUT_ADD_ER,DEL_EN,DEL_ON_ADD_A,ADD_ER,ADD_IEN,DEL_E_ADD_I
1995,383255,55852,23289,14098,41,23,1021,13,230,467,5179,562,0,3922,996,47,0,6669,33,0
1996,370306,52994,22277,13388,46,30,905,18,239,501,4854,545,0,3891,956,49,0,6371,32,0
1997,354358,50004,20565,12574,33,18,936,18,204,442,4740,538,0,3506,989,41,0,5649,24,0
1998,355709,50672,19879,12042,26,25,1000,22,211,510,4669,525,0,3469,881,41,0,5430,25,0
1999,352912,49942,19947,11956,28,32,998,18,192,482,4437,519,0,3435,803,31,0,5319,31,0
2000,345790,48770,19729,11644,29,28,1046,16,162,523,4549,490,0,3397,890,35,0,5159,24,0
2001,348700,48120,20343,11635,29,24,986,23,182,511,4544,562,0,3343,840,37,0,5361,25,0
2002,335398,45983,19471,11290,31,18,973,27,179,500,4289,482,0,3479,830,34,0,5266,22,0
2003,329979,46417,19356,11346,30,26,866,13,186,457,4439,510,0,3274,846,44,0,5064,26,0
2004,347442,46474,19616,12200,44,35,804,22,223,475,4488,556,0,3475,915,44,0,5636,24,0
2005,336328,44517,18664,11212,22,36,827,40,173,440,4376,492,0,3385,854,28,0,5192,17,0
2006,327123,42121,17858,10917,24,28,788,14,208,413,4325,489,0,3301,784,32,0,4945,15,0
2007,391545,49922,20780,12356,47,44,1108,17,197,473,5421,545,0,3603,802,36,0,6137,25,0
2008,385289,47676,20083,12236,35,21,1172,16,214,441,5312,547,0,3800,731,32,0,6001,24,0
2009,382639,47489,20005,12421,37,25,1082,13,185,443,5293,554,0,3773,752,27,0,5935,25,0
2010,396238,47700,20495,12685,34,28,1186,18,223,460,5487,555,0,3712,762,41,0,6089,21,0
2011,370647,46140,19070,12367,33,20,1103,16,221,449,5031,532,0,3621,711,27,0,5829,15,0
2012,369149,45531,17901,11203,23,21,1195,32,149,532,5001,466,0,3329,664,24,0,5284,14,0
2013,373350,46047,19311,11969,39,23,1141,17,200,459,5117,535,0,3556,735,37,0,5867,21,0
2014,378495,45208,18833,11652,35,29,1156,30,185,470,5202,503,0,3340,730,28,0,5628,22,0
2015,366272,44091,17726,10874,18,21,1160,36,170,444,5032,467,0,3234,660,32,0,5342,19,0
2016,341597,43277,17751,10833,43,24,1008,33,203,393,4664,496,0,3137,699,37,0,5195,11,0
2017,344817,43623,17781,11044,30,23,966,29,202,380,4613,465,0,3275,683,35,0,5281,17,0
2018,334179,42315,17242,10685,38,13,1029,37,199,351,4637,486,0,3151,647,41,0,5059,15,0
2019,343082,43082,17766,10720,34,15,972,30,231,349,4717,506,0,3334,678,28,0,5463,18,0
2020,337211,43355,17769,10798,44,49,886,19,218,365,4532,582,0,3397,689,36,0,5561,17,0
2021,343011,42866,17747,10533,42,36,857,22,219,354,4734,524,0,3519,657,41,0,5497,15,0
2022,352831,43964,18608,11195,37,23,853,26,258,347,4839,549,0,3512,678,35,0,5773,22,0
